,,LAS PALMERAS GROUPALMERAS S.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Registro de cierre de ventas diarias por local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FORMAS DE PAGO,,,,,,,,,GASTOS,,,,,,,,,,,,,,CORTESIAS,,,,,
Local,Fecha,"Venta 
Total",Datafast,Medianet,Uber,Pedidos Ya,Rappic,Cheques,Transferencias,Retenciones,Efectivo,Compras,"Pago 
D¡as Libres",Eventuales,Sueldos,Anticipos,Prestamos,Transporte,C. Empleados,Mantenimientos,Otros,Total Gastos,"Deposito
1","Deposito
2","Diferencia 
en depositos",Empleados,Gerencia,Cumplea¤eros,Promociones,"Total 
Cortesias",POR
3,04-03-22,626.29,,255.49,33.70,,,,,,337.10,2.50,20.00,,,,,,,,,22.50,314.60,,0.00,,,,,0.00,SDS
3,05-03-22,1535.37,,945.28,34.02,10.98,18.86,,,,526.23,,,,526.23,,,,,,,526.23,,,0.00,,37.60,17.00,,54.60,SDS
3,06-03-22,1783.01,,1138.26,,,,,,,644.75,5.00,,80.00,530.75,,,,,29.00,,644.75,,,0.00,,,,,0.00,SDS
3,07-03-22,350.41,,55.42,,16.46,,,,,278.53,,,,278.53,,,,,,,278.53,,,0.00,,,,,0.00,SDS
3,08-03-22,1166.73,,465.63,,,,,,,701.10,,,,18.89,,,2.50,,,,21.39,679.71,,0.00,,,17.50,,17.50,SDS
3,09-03-22,402.49,,238.06,,,,,,,164.43,,,,,20.00,144.43,,,,,164.43,,,0.00,,,,,0.00,SDS
3,10-03-22,461.43,,190.57,,,,,,,270.86,,,,,,,,,,,0.00,270.86,,0.00,,,8.40,,8.40,SDS
4,01-03-22,2546.66,495.09,785.10,320.29,117.87,38.29,,40.00,,750.02,4.76,60.00,350.00,,,,,,,,414.76,330.00,5.26,0.00,,,,,0.00,SDS
4,02-03-22,428.35,,168.50,20.85,,,,,,239.00,2.42,,,,,,,,,,2.42,230.00,6.58,0.00,,,,,0.00,SDS
4,03-03-22,484.51,,207.57,50.09,4.99,,,,,221.86,1.38,,,,,,,,,,1.38,200.00,20.48,0.00,,,,,0.00,SDS
4,04-03-22,675.60,,373.92,33.22,17.82,,,,,250.64,,,,,,,,,,,0.00,240.00,10.64,0.00,,,,,0.00,SDS
4,05-03-22,1872.34,,958.82,310.64,104.20,35.74,,,,462.94,4.74,,,458.20,,,,,,,462.94,,,0.00,,,8.40,,8.40,SDS
4,06-03-22,2538.57,273.32,1461.31,195.56,78.88,,,,,529.50,,,190.00,339.50,,,,,,,529.50,,,0.00,,,,,0.00,SDS
4,07-03-22,554.81,,141.74,45.12,25.76,,,,,342.19,,,,342.19,,,,,,,342.19,,,0.00,,,,,0.00,SDS
4,08-03-22,779.80,,325.78,44.41,48.06,,,,,361.55,,,,249.33,,,,,,,249.33,90.00,22.22,0.00,,,4.45,,4.45,SDS
4,09-03-22,500.74,,183.64,81.67,,,,,,235.43,4.16,,,,,,,,,,4.16,220.00,11.27,0.00,,,,,0.00,SDS
4,10-03-22,479.41,,241.45,51.57,35.70,,,,,150.69,,,,,,,,,,,0.00,150.69,,0.00,,,,,0.00,SDS
13,01-03-22,806.80,,353.51,,29.79,93.23,,,,330.27,,,,,,,20.00,,,,20.00,210.00,100.27,0.00,,,,150.80,150.80,SDS
13,02-03-22,445.25,,189.20,,31.60,,,,,224.45,,,,,,,20.00,,,,20.00,205.15,,-0.70,,,,30.20,30.20,SDS
13,03-03-22,699.67,,323.27,,29.98,20.16,,,,326.26,,,,,,,25.00,,,,25.00,301.26,,0.00,,,,64.20,64.20,SDS
13,04-03-22,644.41,,296.04,23.62,55.64,5.48,,,,263.63,,,,,,,20.00,,,,20.00,243.63,,0.00,,,,85.60,85.60,SDS
13,05-03-22,1162.83,,729.25,8.37,4.98,23.49,,,,396.74,6.57,,,365.17,,,25.00,,,,396.74,,,0.00,,,,167.40,167.40,SDS
13,06-03-22,1056.36,,507.12,20.71,45.90,8.37,,,,474.26,,,,449.26,,,25.00,,,,474.26,,,0.00,,,,156.60,156.60,SDS
13,07-03-22,519.38,,232.35,,27.43,10.35,,,,249.25,,,,199.25,,,30.00,,,20.00,249.25,,,0.00,,,,72.00,72.00,SDS
13,08-03-22,866.51,,366.27,22.16,8.62,,,,,469.46,,,40.00,230.99,,,20.00,,,,290.99,188.47,,-10.00,,,,193.60,193.60,SDS
13,09-03-22,534.91,,211.86,,,10.35,,,,312.70,,,,,,,25.00,,,,25.00,287.70,,0.00,,,,109.00,109.00,SDS
13,10-03-22,668.66,,278.77,22.40,14.84,34.56,,,,318.09,9.10,,,,,,25.00,,,,34.10,283.99,,0.00,,,,76.60,76.60,SDS
8,01-03-22,1052.77,,586.86,54.73,22.78,60.15,,,,328.25,15.92,20.00,,,,,,,,,35.92,292.33,,0.00,,,,189.80,189.80,SDS
8,02-03-22,363.51,,117.49,10.35,18.48,,,,,217.19,9.55,,,,,,,,,,9.55,207.64,,0.00,,,,101.20,101.20,SDS
8,03-03-22,353.52,,163.67,,4.98,,,,,184.87,,,,,,,5.00,,,,5.00,179.87,,0.00,,,,79.80,79.80,SDS
8,04-03-22,524.85,43.78,172.04,9.85,30.17,19.59,,,,249.42,,,,,,,,,,,0.00,249.42,,0.00,,,,95.40,95.40,SDS
8,05-03-22,1134.93,4.98,529.08,118.00,25.70,10.35,,,,446.82,,20.00,,426.82,,,,,,,446.82,,,0.00,23.25,,8.60,156.80,188.65,SDS
